,US
5/24/21,21875.0
5/25/21,24592.0
5/26/21,24595.0
5/27/21,26843.0
5/28/21,22243.0
5/29/21,13311.0
5/30/21,7354.0
5/31/21,6275.0
6/1/21,20854.0
6/2/21,16714.0
6/3/21,18394.0
6/4/21,17865.0
6/5/21,15605.0
6/6/21,6017.0
6/7/21,14072.0
6/8/21,13040.0
6/9/21,18565.0
6/10/21,14781.0
6/11/21,25151.0
6/12/21,9160.0
6/13/21,5271.0
6/14/21,11785.0
6/15/21,10729.0
6/16/21,11906.0
6/17/21,11763.0
6/18/21,21182.0
6/19/21,9051.0
6/20/21,4921.0
6/21/21,10554.0
6/22/21,10796.0
6/23/21,12665.0
6/24/21,14474.0
6/25/21,24603.0
6/26/21,9370.0
6/27/21,4622.0
6/28/21,13623.0
6/29/21,7477.0
6/30/21,15353.0
7/1/21,15121.0
7/2/21,29756.0
7/3/21,5414.0
7/4/21,4285.0
7/5/21,8902.0
7/6/21,22282.0
7/7/21,20177.0
7/8/21,20863.0
7/9/21,47595.0
7/10/21,10120.0
7/11/21,11747.0
7/12/21,29424.0
7/13/21,26531.0
7/14/21,31124.0
7/15/21,31963.0
7/16/21,78111.0
7/17/21,14102.0
7/18/21,20329.0
7/19/21,48843.0
7/20/21,39729.0
7/21/21,47732.0
7/22/21,56532.0
7/23/21,120801.0
7/24/21,28745.0
7/25/21,27973.0
7/26/21,79374.0
7/27/21,64994.0
7/28/21,73570.0
7/29/21,72558.0
7/30/21,191450.0
7/31/21,43894.0
8/1/21,44569.0
8/2/21,108360.0
8/3/21,97753.0
8/4/21,102437.0
8/5/21,109693.0
8/6/21,251894.0
8/7/21,62999.0
8/8/21,34874.0
8/9/21,159793.0
8/10/21,117799.0
8/11/21,154441.0
8/12/21,144076.0
8/13/21,226820.0
8/14/21,73063.0
8/15/21,46786.0
8/16/21,194360.0
8/17/21,150592.0
8/18/21,167607.0
8/19/21,155222.0
8/20/21,239077.0
8/21/21,92191.0
8/22/21,44203.0
8/23/21,208234.0
8/24/21,154459.0
8/25/21,178972.0
8/26/21,183770.0
8/27/21,238682.0
8/28/21,78890.0
8/29/21,52012.0
8/30/21,229218.0
8/31/21,179942.0
9/1/21,190512.0
9/2/21,179122.0
9/3/21,235434.0
9/4/21,85911.0
9/5/21,63501.0
9/6/21,93739.0
9/7/21,209172.0
9/8/21,176908.0
9/9/21,166422.0
9/10/21,242013.0
9/11/21,89131.0
9/12/21,48349.0
9/13/21,210777.0
9/14/21,145404.0
9/15/21,173250.0
9/16/21,158775.0
9/17/21,210854.0
9/18/21,74968.0
9/19/21,44873.0
9/20/21,171794.0
9/21/21,121735.0
9/22/21,131352.0
9/23/21,129161.0
9/24/21,174769.0
9/25/21,60496.0
9/26/21,54320.0
9/27/21,155944.0
9/28/21,112750.0
9/29/21,121386.0
9/30/21,110394.0
10/1/21,154829.0
10/2/21,48207.0
10/3/21,44778.0
10/4/21,142920.0
10/5/21,95226.0
10/6/21,112176.0
10/7/21,101525.0
10/8/21,131420.0
10/9/21,38830.0
10/10/21,39672.0
10/11/21,96064.0
10/12/21,110607.0
10/13/21,108455.0
10/14/21,86943.0
10/15/21,109482.0
10/16/21,39784.0
10/17/21,31653.0
10/18/21,98946.0
10/19/21,81910.0
10/20/21,91619.0
10/21/21,78076.0
10/22/21,95956.0
10/23/21,32415.0
10/24/21,19166.0
10/25/21,112571.0
10/26/21,66657.0
10/27/21,102569.0
10/28/21,75095.0
10/29/21,95106.0
10/30/21,34292.0
10/31/21,32319.0
11/1/21,113252.0
11/2/21,68733.0
11/3/21,85594.0
11/4/21,81437.0
11/5/21,96857.0
11/6/21,34856.0
11/7/21,36825.0
11/8/21,110747.0
11/9/21,78362.0
11/10/21,95069.0
11/11/21,57642.0
11/12/21,143502.0
11/13/21,43949.0
11/14/21,31911.0
11/15/21,134040.0
11/16/21,87268.0
11/17/21,112838.0
11/18/21,109835.0
11/19/21,126868.0
11/20/21,45360.0
11/21/21,39829.0
11/22/21,144619.0
11/23/21,91346.0
11/24/21,111578.0
11/25/21,39319.0
11/26/21,53422.0
11/27/21,26540.0
11/28/21,43147.0
11/29/21,186299.0
11/30/21,117105.0
12/1/21,137108.0
12/2/21,138852.0
12/3/21,158619.0
12/4/21,66341.0
12/5/21,55180.0
12/6/21,177688.0
12/7/21,113262.0
12/8/21,149907.0
12/9/21,124529.0
12/10/21,158202.0
12/11/21,56583.0
12/12/21,52304.0
12/13/21,185493.0
12/14/21,115029.0
12/15/21,143629.0
12/16/21,141728.0
12/17/21,192652.0
12/18/21,79762.0
12/19/21,89200.0
12/20/21,240048.0
12/21/21,179403.0
12/22/21,243750.0
12/23/21,269766.0
12/24/21,248505.0
12/25/21,86647.0
12/26/21,178376.0
12/27/21,500551.0
12/28/21,362001.0
12/29/21,502100.0
12/30/21,590666.0
12/31/21,513609.0
1/1/22,188728.0
1/2/22,285894.0
1/3/22,1044895.0
1/4/22,812133.0
1/5/22,662520.0
1/6/22,834960.0
1/7/22,869692.0
1/8/22,397660.0
1/9/22,484965.0
1/10/22,1383823.0
1/11/22,787275.0
1/12/22,848569.0
1/13/22,861302.0
1/14/22,879999.0
1/15/22,408283.0
1/16/22,479765.0
1/17/22,675016.0
1/18/22,1129422.0
1/19/22,908016.0
1/20/22,732531.0
1/21/22,841003.0
1/22/22,302481.0
1/23/22,365396.0
1/24/22,921994.0
1/25/22,493150.0
1/26/22,624014.0
1/27/22,506273.0
1/28/22,614033.0
1/29/22,178619.0
1/30/22,197945.0
1/31/22,542235.0
2/1/22,325402.0
2/2/22,329513.0
2/3/22,274798.0
2/4/22,354960.0
2/5/22,86411.0
2/6/22,83464.0
2/7/22,346417.0
2/8/22,214300.0
2/9/22,188407.0
2/10/22,171448.0
2/11/22,209317.0
2/12/22,51864.0
2/13/22,58312.0
2/14/22,170178.0
2/15/22,111171.0
2/16/22,114835.0
2/17/22,101693.0
2/18/22,145176.0
2/19/22,31407.0
2/20/22,23001.0
2/21/22,82887.0
2/22/22,89345.0
2/23/22,85145.0
2/24/22,67077.0
2/25/22,74381.0
2/26/22,47414.0
2/27/22,18219.0
2/28/22,98921.0
3/1/22,46712.0
3/2/22,53415.0
3/3/22,48618.0
3/4/22,51267.0
3/5/22,14921.0
3/6/22,12396.0
3/7/22,64085.0
3/8/22,29753.0
3/9/22,37706.0
3/10/22,46585.0
3/11/22,49716.0
3/12/22,10217.0
3/13/22,11051.0
3/14/22,35390.0
3/15/22,24382.0
3/16/22,46137.0
3/17/22,53166.0
3/18/22,31354.0
3/19/22,10882.0
3/20/22,11449.0
3/21/22,42281.0
3/22/22,24571.0
3/23/22,41032.0
3/24/22,43003.0
3/25/22,46438.0
3/26/22,9434.0
3/27/22,11783.0
3/28/22,38967.0
3/29/22,24175.0
3/30/22,39178.0
3/31/22,45625.0
4/1/22,32201.0
4/2/22,11789.0
4/3/22,4724.0
4/4/22,28896.0
4/5/22,25592.0
4/6/22,40914.0
4/7/22,47243.0
4/8/22,87422.0
4/9/22,12563.0
4/10/22,8771.0
4/11/22,41256.0
4/12/22,35736.0
4/13/22,41135.0
4/14/22,48634.0
4/15/22,37474.0
4/16/22,12439.0
4/17/22,7181.0
